               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028328,            0.010656,                   0,             0.92818,             0.86207,             0.92443,             0.43558,            0.039514,           0.0091025,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028646,             0.01025,                   0,             0.86304,             0.92241,             0.92254,              0.4176,            0.040666,           0.0096632,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027813,           0.0096507,                   0,             0.88374,             0.91739,             0.92416,             0.43665,            0.038948,           0.0094741,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028445,           0.0097805,                   0,              0.8861,             0.87189,             0.92269,             0.44857,            0.038649,           0.0094604,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02799,           0.0096281,                   0,             0.92332,             0.87069,             0.92626,             0.45139,             0.03931,           0.0093946,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028309,            0.009551,                   0,             0.93344,             0.86207,             0.92329,             0.45866,            0.039239,           0.0095533,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028294,           0.0097133,                   0,             0.86181,             0.88793,             0.88223,             0.43177,            0.039654,           0.0095489,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027215,           0.0094531,                   0,             0.91501,             0.84483,             0.89017,             0.43326,            0.040255,           0.0095237,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027477,           0.0095743,                   0,             0.88948,             0.85345,             0.89449,              0.4328,            0.039459,           0.0097482,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026936,           0.0098443,                   0,             0.87522,             0.88793,             0.90905,             0.42137,             0.04022,           0.0096198,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02713,           0.0098108,                   0,             0.92048,             0.91379,             0.93612,              0.4314,            0.039765,           0.0094347,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026642,           0.0090472,                   0,             0.92111,             0.90586,             0.92906,             0.42389,            0.039936,           0.0095544,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02657,           0.0092798,                   0,             0.91284,             0.90517,             0.93439,             0.44604,            0.039513,           0.0095327,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025813,           0.0096086,                   0,             0.91296,             0.87931,             0.91259,             0.43604,            0.039458,           0.0096761,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026518,           0.0092974,                   0,             0.91534,             0.87931,             0.89816,             0.42232,            0.038951,            0.009507,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026894,           0.0093882,                   0,             0.89956,             0.87931,             0.88944,             0.41804,            0.040323,           0.0097504,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025992,             0.01023,                   0,             0.90715,             0.89655,             0.91885,              0.4401,            0.039678,           0.0096666,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.026195,           0.0096955,                   0,              0.9034,             0.87069,             0.90211,             0.40687,            0.040532,           0.0096315,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025807,           0.0092722,                   0,             0.90147,             0.86761,              0.9141,             0.42575,            0.040043,           0.0096802,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025612,           0.0090632,                   0,             0.87541,              0.9086,             0.92141,             0.42489,            0.039569,           0.0097113,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025034,           0.0096285,                   0,             0.88498,             0.92862,             0.92638,             0.42703,            0.040067,           0.0095883,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025731,            0.009788,                   0,             0.89211,              0.9267,             0.92571,             0.43883,            0.039766,           0.0099566,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.025404,             0.00952,                   0,             0.88651,              0.8754,              0.8948,             0.42737,            0.040333,           0.0099165,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.025658,           0.0095842,                   0,             0.93708,             0.86207,             0.92879,              0.4466,            0.038912,            0.010032,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.025795,            0.009293,                   0,             0.91513,             0.88793,             0.91431,             0.43806,            0.039091,           0.0099894,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024876,           0.0095604,                   0,             0.91402,             0.87069,             0.89287,             0.44339,            0.039751,            0.010108,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.025311,           0.0091481,                   0,             0.92484,             0.89655,             0.92504,             0.43263,            0.039952,           0.0099257,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02446,           0.0089552,                   0,             0.92651,             0.86944,             0.91216,             0.44312,            0.039686,           0.0099095,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.02477,           0.0091438,                   0,             0.93466,             0.88793,             0.92782,             0.43513,             0.03995,           0.0095291,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.025018,           0.0095104,                   0,             0.92634,             0.86732,             0.91359,             0.43786,            0.039677,           0.0097372,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024506,           0.0091004,                   0,             0.93484,             0.86207,             0.90796,             0.44587,            0.039035,           0.0096551,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02413,             0.00914,                   0,             0.90582,             0.91209,             0.91747,             0.43993,            0.039661,           0.0094203,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023922,           0.0090065,                   0,             0.94336,             0.86153,             0.91411,              0.4401,            0.038925,           0.0095256,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023802,           0.0090598,                   0,             0.94298,             0.87931,             0.93192,             0.44269,            0.039297,           0.0096327,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023296,           0.0093527,                   0,             0.92741,             0.88107,             0.92853,             0.44325,            0.039265,           0.0099021,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024799,           0.0087957,                   0,              0.8907,             0.91324,             0.92971,             0.44336,            0.039526,            0.010114,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.024359,           0.0095035,                   0,              0.9283,             0.89296,             0.94227,             0.44185,            0.039842,           0.0097723,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023505,           0.0083291,                   0,             0.87186,             0.92241,             0.92492,             0.43228,            0.039844,            0.009916,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02366,           0.0085733,                   0,             0.91161,             0.90517,             0.92825,             0.41607,             0.04015,            0.010022,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023258,           0.0088159,                   0,             0.91872,             0.87702,             0.90154,             0.42457,            0.039951,            0.010024,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.023371,           0.0089996,                   0,             0.90997,             0.88793,             0.91406,             0.42132,            0.040787,            0.010203,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.023589,           0.0090465,                   0,             0.92761,             0.88372,             0.90834,             0.42023,            0.040386,            0.010018,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.023499,           0.0087531,                   0,              0.8817,             0.89955,             0.91767,             0.43544,            0.040501,            0.010129,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.023661,           0.0088573,                   0,             0.91861,             0.87069,             0.90845,             0.41766,            0.040584,            0.010256,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.023427,           0.0085451,                   0,             0.89655,             0.89656,             0.91078,             0.41344,            0.040609,            0.010267,                   0,            0.001981,            0.001981,            0.001981
                  83,              0.0223,           0.0084336,                   0,             0.91446,             0.88793,              0.9195,             0.42253,            0.040087,            0.010032,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02229,           0.0092071,                   0,             0.91963,             0.88784,             0.91648,             0.41812,            0.039845,            0.010066,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022414,           0.0086513,                   0,             0.90688,             0.88793,             0.91733,             0.42099,             0.03997,            0.010188,                   0,            0.001684,            0.001684,            0.001684
                  86,              0.0226,            0.008539,                   0,             0.91039,             0.87586,             0.91429,             0.42766,            0.040197,            0.010251,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022851,           0.0086502,                   0,             0.91846,             0.88793,              0.9235,              0.4357,            0.039396,            0.010183,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.02336,           0.0091303,                   0,             0.91959,             0.88733,             0.92704,             0.44294,            0.039441,            0.010144,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02214,           0.0089576,                   0,             0.89699,              0.9008,             0.91481,             0.43101,            0.039888,             0.01015,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.021883,           0.0084221,                   0,             0.90304,             0.89655,             0.91601,             0.43272,            0.039926,            0.010259,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021981,           0.0086157,                   0,             0.91189,             0.90517,             0.91569,             0.43642,            0.039981,            0.010176,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021458,           0.0081502,                   0,             0.90373,             0.91379,             0.92655,             0.44209,            0.040066,            0.010139,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.022387,           0.0084684,                   0,             0.90224,             0.87931,             0.90243,             0.43301,            0.040131,            0.010224,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.022105,           0.0083047,                   0,             0.89556,             0.88702,             0.90162,             0.43204,              0.0402,              0.0103,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022105,           0.0086142,                   0,             0.91282,             0.90262,             0.93302,             0.43057,            0.040147,            0.010348,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021429,           0.0087452,                   0,             0.92027,             0.89555,             0.92784,             0.43083,            0.039934,            0.010362,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.022099,            0.008796,                   0,             0.91018,             0.89655,             0.92897,             0.43352,            0.040232,            0.010368,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021966,           0.0085495,                   0,             0.92618,             0.88793,             0.93896,             0.43332,            0.039864,            0.010376,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021438,           0.0084168,                   0,             0.89875,             0.91825,              0.9367,             0.43506,            0.039827,             0.01039,                   0,            0.000298,            0.000298,            0.000298
